Rank,Company,Industry,City,State,Number of Employees,Revenue (millions),Valuation (millions),Profits (millions),Profits (% of Sales),Ticker,CEO
416,KLA,Semiconductors and Other Electronic Components,Milpitas,California,"14,140","$9,212","$55,277","$3,322",36.1,KLAC,Rick Wallace
417,JetBlue Airways,Airlines,Long Island City,New York,"18,785","$9,158","$2,383",-$362,-4,JBLU,Robin Hayes
418,Motorola Solutions,Network and Other Communications Equipment,Chicago,Illinois,"20,000","$9,112","$47,917","$1,363",15,MSI,Gregory Q. Brown
419,Citizens Financial Group,Commercial Banks,Providence,Rhose Island,"18,889","$9,069","$14,709","$2,073",22.9,CFG,Bruce W. Van Saun
420,Coterra Energy,"Mining, Crude-Oil Production",Houston,Texas,"1,225","$9,051","$18,786","$4,065",44.9,CTRA,Thomas E. Jorden
421,Avery Dennison,"Packaging, Containers",Mentor,Ohio,"36,000","$9,039","$14,513",$757,8.4,AVY,Mitchell R. Butier
422,PVH,Apparel,New York,New York,"25,000","$9,024","$5,592",$200,2.2,PVH,Stefan Larsson
423,GXO Logistics,Transportation and Logistics,Greenwich,Connecticut,"112,000","$8,993","$5,993",$197,2.2,GXO,Malcolm Wilson
424,Polaris,Transportation Equipment,Medina,Minnesota,"16,200","$8,987","$6,304",$447,5,PII,Michael T. Speetzen
425,Global Payments,Financial Data Services,Atlanta,Georgia,"25,000","$8,976","$27,761",$112,1.2,GPN,Jeffrey S. Sloan
426,Arconic,Metals,Pittsburgh,Pennsylvania,"11,550","$8,961","$2,607",-$182,-2,ARNC,Timothy D. Myers
427,Vertex Pharmaceuticals,Pharmaceuticals,Boston,Massachusetts,"4,800","$8,931","$81,002","$3,322",37.2,VRTX,Reshma Kewalramani
428,Commercial Metals,Metals,Irving,Texas,"12,483","$8,914","$5,727","$1,217",13.7,CMC,Barbara R. Smith
429,Autoliv,Motor Vehicles & Parts,Auburn Hills,Michigan,"65,300","$8,842","$8,013",$423,4.8,ALV,Mikael Bratt
430,Constellation Brands,Beverages,Victor,New York,"10,000","$8,821","$41,688",-$40,-0.5,STZ,Bill Newlands
431,Hilton Worldwide Holdings,"Hotels, Casinos, Resorts",McLean,Virginia,"159,000","$8,773","$37,535","$1,255",14.3,HLT,Christopher J. Nassetta
432,Foot Locker,Specialty Retailers: Apparel,New York,New York,"31,040","$8,759","$3,708",$342,3.9,FL,Mary N. Dillon
433,Huntsman,Chemicals,The Woodlands,Texas,"7,000","$8,715","$5,025",$460,5.3,HUN,Peter R. Huntsman
434,Burlington Stores,Specialty Retailers: Apparel,Burlington,New Jersey,"38,018","$8,703","$13,123",$230,2.6,BURL,Michael B. O’Sullivan
435,Hertz Global Holdings,"Automotive Retailing, Services",Estero,Florida,"25,000","$8,685","$5,252","$2,059",23.7,HTZ,Stephen M. Scherr
436,Masco,"Home Equipment, Furnishings",Livonia,Michigan,"19,000","$8,680","$11,207",$844,9.7,MAS,Keith J. Allman
437,Williams-Sonoma,Specialty Retailers: Other,San Francisco,California,"16,800","$8,674","$8,057","$1,128",13,WSM,Laura J. Alber
438,Chipotle Mexican Grill,Food Services,Newport Beach,California,"104,958","$8,635","$47,186",$899,10.4,CMG,Brian R. Niccol
439,M&T Bank,Commercial Banks,Buffalo,New York,"22,509","$8,604","$20,093","$1,992",23.1,MTB,Rene F. Jones
440,LPL Financial Holdings,Securities,San Diego,California,"6,415","$8,601","$15,914",$846,9.8,LPLA,Dan H. Arnold
441,CMS Energy,Utilities: Gas and Electric,Jackson,Michigan,"8,817","$8,596","$17,902",$837,9.7,CMS,Garrick J. Rochow
442,Campbell Soup,Food Consumer Products,Camden,New Jersey,"14,700","$8,562","$16,465",$757,8.8,CPB,Mark A. Clouse
443,Arthur J. Gallagher,Diversified Financials,Rolling Meadows,Illinois,"43,640","$8,551","$40,955","$1,114",13,AJG,Patrick Gallagher
444,Blackstone,Diversified Financials,New York,New York,"4,695","$8,518","$62,048","$1,748",20.5,BX,Stephen A. Schwarzman
445,Dover,Industrial Machinery,Downers Grove,Illinois,"25,000","$8,508","$21,237","$1,065",12.5,DOV,Richard J. Tobin
446,ODP,Specialty Retailers: Other,Boca Raton,Florida,"25,000","$8,491","$1,806",$166,2,ODP,Gerry P. Smith
447,Packaging Corp. of America,"Packaging, Containers",Lake Forest,Illinois,"15,100","$8,478","$12,479","$1,030",12.1,PKG,Mark W. Kowlzan
448,Brighthouse Financial,"Insurance: Life, Health (Stock)",Charlotte,North Carolina,"1,500","$8,473","$2,986",$5,0.1,BHF,
449,Beacon Roofing Supply,Wholesalers: Diversified,Herndon,Virginia,"7,478","$8,430","$3,781",$458,5.4,BECN,Julian G. Francis
450,Airbnb,Internet Services and Retailing,San Francisco,California,"6,811","$8,399","$79,682","$1,893",22.5,ABNB,Brian Chesky
451,Boise Cascade,Wholesalers: Diversified,Boise,Idaho,"6,840","$8,387","$2,506",$858,10.2,BCC,
452,Booz Allen Hamilton Holding,Information Technology Services,McLean,Virginia,"29,300","$8,364","$12,261",$467,5.6,BAH,Horacio D. Rozanski
453,Westinghouse Air Brake Technologies,Industrial Machinery,Pittsburgh,Pennsylvania,"27,000","$8,362","$18,226",$633,7.6,WAB,Rafael O. Santana
454,ON Semiconductor,Semiconductors and Other Electronic Components,Scottsdale,Arizona,"31,055","$8,326","$35,560","$1,902",22.8,ON,Hassane El-Khoury
455,Oshkosh,Construction and Farm Machinery,Oshkosh,Wisconsin,"15,000","$8,282","$5,445",$174,2.1,OSK,John C. Pfeifer
456,Franklin Resources,Securities,San Mateo,California,"9,800","$8,275","$13,480","$1,292",15.6,BEN,Jenny Johnson
457,Taylor Morrison Home,Homebuilders,Scottsdale,Arizona,"3,000","$8,225","$4,144","$1,053",12.8,TMHC,Sheryl D. Palmer
458,A-Mark Precious Metals,Wholesalers: Diversified,El Segundo,California,381,"$8,159",$815,$133,1.6,AMRK,Gregory N. Roberts
459,KeyCorp,Commercial Banks,Cleveland,Ohio,"17,660","$8,130","$11,579","$1,917",23.6,KEY,Christopher M. Gorman
460,ARKO,Specialty Retailers: Other,Richmond,Virginia,"12,223","$8,128","$1,020",$72,0.9,ARKO,Arie Kotler
461,Lululemon athletica,Specialty Retailers: Apparel,Sumner,Washington,"34,000","$8,111","$46,312",$855,10.5,LULU,Calvin Mcdonald
462,Old Republic International,Insurance: Property and Casualty (Stock),Chicago,Illinois,"9,500","$8,084","$7,399",$686,8.5,ORI,Craig R. Smiddy
463,Zoetis,Pharmaceuticals,Parsippany,New Jersey,"13,800","$8,080","$77,053","$2,114",26.2,ZTS,Kristin C. Peck
464,Marathon Oil,"Mining, Crude-Oil Production",Houston,Texas,"1,570","$8,036","$15,087","$3,612",44.9,MRO,Lee M. Tillman
465,J.M. Smucker,Food Consumer Products,Orrville,Ohio,"6,700","$7,999","$16,781",$632,7.9,SJM,Mark T. Smucker
466,Huntington Bancshares,Commercial Banks,Columbus,Ohio,"19,920","$7,950","$16,236","$2,238",28.2,HBAN,Stephen D. Steinour
467,NGL Energy Partners,Pipelines,Tulsa,Oklahoma,842,"$7,948",$381,-$185,-2.3,NGL,Michael Krimbill
468,Ingredion,Food Production,Westchester,Illinois,"11,700","$7,946","$6,711",$492,6.2,INGR,James (Jim) Zallie
469,Fortune Brands Innovations,"Building Materials, Glass",Deerfield,Illinois,"11,200","$7,923","$7,457",$687,8.7,FBIN,Nicholas Fink
470,PPL,Utilities: Gas and Electric,Allentown,Pennsylvania,"6,527","$7,902","$20,472",$756,9.6,PPL,Vincent Sorgi
471,Sanmina,Semiconductors and Other Electronic Components,San Jose,California,"36,000","$7,891","$3,559",$256,3.2,SANM,Jure Sola
472,Bed Bath & Beyond,Specialty Retailers: Other,Union,New Jersey,"32,000","$7,868",$183,-$560,-7.1,BBBY,Sue E. Gove
473,Cintas,Diversified Outsourcing Services,Cincinnati,Ohio,"43,000","$7,855","$47,042","$1,236",15.7,CTAS,Todd M. Schneider
474,NCR,"Computers, Office Equipment",Atlanta,Georgia,"35,000","$7,844","$3,304",$60,0.8,NCR,Michael Hayford
475,ABM Industries,Diversified Outsourcing Services,New York,New York,"127,000","$7,807","$2,971",$230,3,ABM,Scott B. Salmirs
476,Rockwell Automation,"Electronics, Electrical Equip.",Milwaukee,Wisconsin,"26,000","$7,760","$33,683",$932,12,ROK,Blake D. Moret
477,Northern Trust,Commercial Banks,Chicago,Illinois,"23,600","$7,752","$18,309","$1,336",17.2,NTRS,Michael G. O'Grady
478,XPO,Transportation and Logistics,Greenwich,Connecticut,"39,500","$7,718","$3,685",$666,8.6,XPO,Mario A. Harik
479,Science Applications International,Information Technology Services,Reston,Virginia,"25,000","$7,704","$5,871",$300,3.9,SAIC,Nazzic S. Keene
480,Ameren,Utilities: Gas and Electric,St. Louis,Missouri,"9,244","$7,662","$22,675","$1,074",14,AEE,Martin J. Lyons Jr.
481,First American Financial,Insurance: Property and Casualty (Stock),Santa Ana,California,"21,153","$7,605","$5,750",$263,3.5,FAF,Kenneth D. Degiorgio
482,Bath & Body Works,Specialty Retailers: Other,Columbus,Ohio,"33,000","$7,560","$8,368",$800,10.6,BBWI,Gina Boswell
483,Regions Financial,Commercial Banks,Birmingham,Alabama,"20,073","$7,531","$17,346","$2,245",29.8,RF,John M. Turner Jr.
484,Activision Blizzard,Entertainment,Santa Monica,California,"13,000","$7,528","$67,126","$1,513",20.1,ATVI,Bobby Kotick
485,Avantor,"Scientific, Photographic and Control Equipment",Radnor,Pennsylvania,"14,500","$7,512","$14,271",$687,9.1,AVTR,Michael Stubblefield
486,Genworth Financial,"Insurance: Life, Health (Stock)",Richmond,Virginia,"2,500","$7,507","$2,477",$609,8.1,GNW,Thomas J. Mcinerney
487,EQT,Energy,Pittsburgh,Pennsylvania,744,"$7,498","$11,499","$1,771",23.6,EQT,Toby Z. Rice
488,Skechers U.S.A.,Apparel,Manhattan Beach,California,"11,450","$7,445","$7,379",$373,5,SKX,Robert Greenberg
489,Landstar System,"Trucking, Truck Leasing",Jacksonville,Florida,"1,449","$7,440","$6,457",$431,5.8,LSTR,James B. Gattoni
490,Knight-Swift Transportation Holdings,"Trucking, Truck Leasing",Phoenix,Arizona,"28,300","$7,429","$9,106",$771,10.4,KNX,David A. Jackson
491,SVB Financial Group,Commercial Banks,Santa Clara,California,"8,553","$7,401",$54,"$1,672",22.6,SIVBQ,William Kosturos
492,Par Pacific Holdings,Petroleum Refining,Houston,Texas,"1,397","$7,322","$1,773",$364,5,PARR,William C. Pate
493,Albemarle,Chemicals,Charlotte,North Carolina,"7,400","$7,320","$25,928","$2,690",36.7,ALB,Kent Masters
494,Vulcan Materials,"Building Materials, Glass",Birmingham,Alabama,"11,974","$7,315","$22,827",$576,7.9,VMC,Thomas Hill
495,Watsco,Wholesalers: Diversified,Miami,Florida,"7,238","$7,274","$12,354",$601,8.3,WSO,Albert H. Nahmad
496,KKR,Securities,New York,New York,"4,150","$7,273","$45,225",-$841,-11.6,KKR,Joseph Y. Bae
497,Equinix,Real Estate,Redwood City,California,"12,097","$7,263","$66,873",$704,9.7,EQIX,Charles Meyers
498,Sonoco Products,"Packaging, Containers",Hartsville,South Carolina,"22,000","$7,251","$5,975",$466,6.4,SON,Howard Coker
499,ServiceNow,Computer Software,Santa Clara,California,"20,433","$7,245","$94,338",$325,4.5,NOW,Bill Mcdermott
500,Robert Half International,Temporary Help,Menlo Park,California,"16,300","$7,238","$8,677",$658,9.1,RHI,Keith Waddell
